this_week,name,country,average_points,total_points,events_played,points_lost_this_year,points_gained_this_year,events_played
1,Jason Day,Australia,10.9145,436.581,40,-385.299,384.290,40
2,Rory McIlroy,N Ireland,9.8336,413.011,42,-438.46,378.43,42
3,Dustin Johnson,United States,9.533,448.052,47,-251.197,454.196,47
4,Henrik Stenson,Sweden,8.694,408.617,47,-327.49,361.816,47
5,Jordan Spieth,United States,8.0436,410.222,51,-506.056,316.131,51
6,Hideki Matsuyama,Japan,7.4883,389.393,52,-203.752,382.95,52
7,Adam Scott,Australia,6.5476,281.545,43,-208.391,303.252,43
8,Patrick Reed,United States,5.3972,280.656,52,-222.8,259.491,64
9,Alex Noren,Sweden,5.3525,214.099,40,-63.411,214.443,39
10,Bubba Watson,United States,5.1949,233.772,45,-313.227,181.085,45
11,Danny Willett,England,5.0889,249.358,49,-204.867,255.061,49
12,Rickie Fowler,United States,4.9676,253.35,51,-323.337,205.988,51
13,Sergio Garcia,Spain,4.7346,203.586,43,-205.222,198.725,43
14,Paul Casey,England,4.6999,234.996,50,-153.628,208.003,50
15,Justin Rose,England,4.4397,213.105,48,-291.817,139.761,48
16,Brooks Koepka,United States,4.3323,216.617,50,-192.81,200.955,50
17,Branden Grace,South Africa,4.3149,224.374,52,-198.636,207.654,54
18,Russell Knox,Scotland,4.1555,216.084,52,-129.11,187.175,58
19,Phil Mickelson,United States,4.099,180.354,44,-138.93,201.351,44
20,Matt Kuchar,United States,4.0979,213.092,52,-180.552,203.706,57
21,Jimmy Walker,United States,3.9869,207.321,52,-178.393,214.764,52
22,Justin Thomas,United States,3.9702,206.452,52,-120.373,179.243,57
23,Charl Schwartzel,South Africa,3.674,191.05,52,-142.793,182.896,53
24,Tyrrell Hatton,England,3.6701,190.843,52,-74.977,187.364,52
25,Emiliano Grillo,Argentina,3.6101,187.725,52,-117.966,153.263,59
26,Louis Oosthuizen,South Africa,3.5938,176.097,49,-172.427,161.604,49
27,Rafael Cabrera Bello,Spain,3.4981,181.899,52,-98.963,207.716,56
28,Brandt Snedeker,United States,3.4526,179.536,52,-159.639,208.281,56
29,J.B. Holmes,United States,3.3869,165.957,49,-162.864,158.472,49
30,Matthew Fitzpatrick,England,3.3805,175.787,52,-97.316,134.689,63
31,Francesco Molinari,Italy,3.2206,154.588,48,-96.895,143.013,48
32,Kevin Chappell,United States,3.1778,165.246,52,-84.616,172.408,53
33,Yuta Ikeda,Japan,3.169,164.791,52,-69.714,144.616,56
34,Daniel Berger,United States,3.1401,163.286,52,-110.194,147.408,55
35,Ryan Moore,United States,3.0975,145.583,47,-104.379,148.828,47
36,Scott Piercy,United States,3.0712,159.702,52,-99.577,148.67,54
37,Jim Furyk,United States,2.9717,118.867,40,-190.654,84.789,35
38,Zach Johnson,United States,2.8331,144.486,51,-178.89,97.502,51
39,Chris Wood,England,2.7697,132.945,48,-100.533,105.892,48
40,Bernd Wiesberger,Austria,2.7335,142.141,52,-130.43,121.306,58
41,Bill Haas,United States,2.6909,137.237,51,-139.932,136.715,51
42,Lee Westwood,England,2.635,123.845,47,-124.352,113.921,47
43,Shane Lowry,Ireland,2.6253,123.388,47,-149.924,92.849,47
44,Andy Sullivan,England,2.6047,135.445,52,-128.064,116.706,58
45,Kevin Na,United States,2.5993,135.165,52,-150.636,104.785,54
46,Byeong Hun An,Korea,2.588,134.577,52,-130.07,102.555,54
47,Thomas Pieters,Belgium,2.5795,128.977,50,-80.916,121.981,50
48,Soren Kjeldsen,Denmark,2.5765,133.977,52,-105.327,101.553,59
49,Gary Woodland,United States,2.5546,130.285,51,-101.933,127.311,51
50,William McGirt,United States,2.5004,130.021,52,-74.114,137.229,55
51,Kevin Kisner,United States,2.4888,129.419,52,-147.422,71.395,56
52,Martin Kaymer,Germany,2.3994,124.767,52,-152.774,108.795,52
53,Siwoo Kim,Korea,2.3797,123.743,52,-38.94,131.817,64
54,Thongchai Jaidee,Thailand,2.3691,123.195,52,-132.632,93.947,62
55,Hideto Tanihara,Japan,2.3546,120.083,51,-57.481,114.396,51
56,Marc Leishman,Australia,2.3538,117.69,50,-126.303,80.264,50
57,K.T. Kim,Korea,2.3149,120.377,52,-84.592,96.006,52
58,Joost Luiten,Netherlands,2.2195,113.196,51,-96.155,117.767,51
59,Scott Hend,Australia,2.1755,113.126,52,-73.07,114.181,68
60,Brendan Steele,United States,2.1719,108.597,50,-80.813,94.126,50
61,Jeunghun Wang,Korea,2.1364,108.959,51,-52.379,113.14,51
62,Jason Dufner,United States,2.0795,99.818,48,-74.755,118.333,48
63,Thorbjorn Olesen,Denmark,2.0229,105.189,52,-85.209,91.348,53
64,James Hahn,United States,2.0172,104.895,52,-79.108,106.687,52
65,Ross Fisher,England,2.0156,98.766,49,-76.152,80.136,49
66,Charley Hoffman,United States,1.9801,102.963,52,-119.304,96.966,54
67,Danny Lee,New Zealand,1.9724,102.567,52,-113.003,82.018,68
68,David Lingmerth,Sweden,1.9681,102.341,52,-106.159,87.93,57
69,Roberto Castro,United States,1.9629,96.184,49,-32.653,101.803,49
70,Billy Horschel,United States,1.956,95.843,49,-139.853,94.051,49
71,Jhonattan Vegas,Venezuela,1.9393,100.843,52,-36.418,105.634,60
72,Brandon Stone,South Africa,1.9276,100.235,52,-44.128,106.729,53
73,Daniel Summerhays,United States,1.911,99.374,52,-72.992,90.995,55
74,Chris Kirk,United States,1.9106,99.349,52,-126.437,92.455,53
75,Ryan Palmer,United States,1.8911,85.101,45,-104.565,81.865,45
76,Harris English,United States,1.8588,96.655,52,-86.33,103.39,56
77,Anirban Lahiri,India,1.7684,91.956,52,-112.853,73.849,55
78,Younghan Song,Korea,1.7551,91.265,52,-44.408,91.2,59
79,Victor Dubuisson,France,1.7396,71.324,41,-104.315,33.168,41
80,Kiradech Aphibarnrat,Thailand,1.7213,89.509,52,-108.886,57.833,63
81,Luke Donald,England,1.7167,89.27,52,-86.78,80.879,54
82,Graeme McDowell,N Ireland,1.6875,87.75,52,-99.763,73.894,55
83,Fabian Gomez,Argentina,1.687,87.725,52,-73.49,97.186,56
84,Webb Simpson,United States,1.6772,75.473,45,-86.985,69.61,45
85,Sean O'Hair,United States,1.667,86.684,52,-60.082,78.83,53
86,Andrew Johnston,England,1.6555,86.084,52,-48.191,97.582,53
